Country Name	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013
Ireland	2828600	2824400	2836050	2852650	2866550	2877300	2888800	2902450	2915550	2932650	2957250	2992050	3036850	3085950	3137500	3189550	3238050	3282200	3329100	3373750	3412800	3453000	3485800	3510600	3532423	3538082	3539690	3540057	3524949	3511009	3513974	3534235	3558430	3576261	3590386	3608841	3637510	3674171	3712696	3754786	3805174	3866243	3931947	3996521	4070262	4159914	4274137	4398942	4489544	4535375	4560155	4576794	4586897	4595281
Japan	92500572	94943000	95832000	96812000	97826000	98883000	99790000	100725000	101061000	103172000	104345000	105697000	107188000	108079000	110162000	111940000	112771000	113863000	114898000	115870000	116782000	117648000	118449000	119259000	120018000	120754000	121492000	122091000	122613000	123116000	123537000	123921000	124229000	124536000	124961000	125439000	125761000	126091000	126410000	126650000	126870000	127149000	127445000	127718000	127761000	127773000	127756000	127770750	127704040	127557958	127450459	127817277	127561489	127338621
Kuwait	261994	294670	335186	381688	431404	482247	533633	585968	639328	694069	750423	808277	867326	927403	988328	1049988	1112107	1174713	1238353	1303795	1371494	1439561	1507059	1576266	1650388	1730441	1821560	1919980	2007415	2059222	2059774	1999651	0	0	0	1586123	1585244	1635999	1722208	1818405	1906231	1980604	2048232	2116353	2196466	2296314	2417445	2554920	2702221	2850102	2991580	3124705	3250496	3368572	
Luxembourg	313970	316845	320750	324100	327750	331500	333895	334995	335850	337500	339171	342421	346600	350450	355050	358950	360731	361358	362007	362856	364150	365225	365525	365622	365998	366706	368355	370750	373450	377100	381850	387000	392175	397475	402925	408625	414225	419450	424700	430475	436300	441525	446175	451630	458095	465158	472637	479993	488650	497783	506953	518347	530946	543202	
Mexico	38676974	39939271	41234350	42564038	43931398	45338827	46783542	48264496	49787609	51360846	52988138	54669034	56395803	58155590	59931341	61708369	63486196	65261295	67012869	68715443	70353013	71916281	73415735	74880326	76351106	77859344	79410218	80999175	82635332	84326921	86077004	87890094	89757916	91653826	93541577	95392647	97201533	98968558	100678867	102316781	103873607	105339877	106723661	108056312	109381550	110731826	112116694	113529819	114968039	116422752	117886404	119361233	120847477	122332399
Netherlands	11486631	11638712	11805689	11965966	12127120	12294732	12456251	12598201	12729721	12877984	13038526	13194497	13328593	13439322	13545056	13666335	13774037	13856185	13941700	14038270	14149800	14247208	14312690	14367070	14424211	14491632	14572278	14665037	14760094	14848907	14951510	15069798	15184166	15290368	15382838	15459006	15530498	15610650	15707209	15812088	15925513	16046180	16148929	16225302	16281779	16319868	16346101	16381696	16445593	16530388	16615394	16693074	16754962	16804224
Norway	3581239	3609800	3638918	3666537	3694339	3723168	3753012	3784539	3816486	3847707	3875763	3903039	3933004	3960612	3985258	4007313	4026152	4043205	4058671	4072517	4085620	4099702	4114787	4128432	4140099	4152516	4167354	4186905	4209488	4226901	4241473	4261732	4286401	4311991	4336613	4359184	4381336	4405157	4431464	4461913	4490967	4513751	4538159	4564855	4591910	4623291	4660677	4709153	4768212	4828726	4889252	4953088	5018573	5084190
Qatar	47316	51363	56196	61657	67497	73554	79746	86172	93056	100710	109342	119260	130390	142126	153610	164354	173786	182404	192059	205286	223752	248077	277245	309256	341249	371026	398284	423300	445197	463079	476517	485129	489606	491996	495106	501154	512476	529491	550367	572155	593693	611808	629745	660238	720383	821159	967602	1152459	1359114	1564082	1749713	1910902	2050514	2168673	
Russia	119897000	121236000	122591000	123960000	125345000	126745000	127468000	128196000	128928000	129664000	130404000	131155000	131909000	132669000	133432000	134200000	135147000	136100000	137060000	138027000	139010000	139941000	140823000	141668000	142745000	143858000	144894000	145908000	146857000	147721000	148292000	148624000	148689000	148520000	148336000	148141000	148160126	147915373	147670780	147214777	146596870	145976473	145408033	144667468	143821212	143113885	142487260	142114903	141956409	141909244	142385523	142956460	143178000	143499861
Saudi Arabia	4072110	4202984	4345738	4498390	4657855	4822502	4992625	5171093	5362099	5571166	5802967	6059524	6342159	6654009	6998359	7377881	7790588	8236583	8722480	9256774	9843265	10484746	11172632	11885086	12592829	13273786	13918323	14528398	15107785	15665086	16206078	16739895	17263613	17758096	18197011	18567343	18848350	19060850	19282965	19620692	20144584	20891594	21825217	22852333	23839231	24690067	25371936	25915624	26366358	26796375	27258387	27761728	28287855	28828870
Sweden	7484656	7519998	7561588	7604328	7661354	7733853	7807797	7867931	7912273	7968072	8042801	8098334	8122300	8136312	8159955	8192437	8222286	8251540	8275599	8293678	8310531	8320503	8325263	8329033	8336605	8350386	8369829	8397804	8436489	8492964	8558835	8617375	8668067	8718561	8780745	8826939	8840998	8846062	8850974	8857874	8872109	8895960	8924958	8958229	8993531	9029572	9080505	9148092	9219637	9298515	9378126	9449213	9519374	9592552
Switzerland	5327827	5434294	5573815	5694247	5789228	5856472	5918002	5991785	6067714	6136387	6180877	6213399	6260956	6307347	6341405	6338632	6302504	6281174	6281738	6294365	6319408	6354074	6391309	6418773	6441865	6470365	6504124	6545106	6593386	6646912	6715519	6799978	6875364	6938265	6993795	7040687	7071850	7088906	7110001	7143991	7184250	7229854	7284753	7339001	7389625	7437115	7483934	7551117	7647675	7743831	7824909	7912398	7996861	8081482
United Kingdom	52400000	52800000	53250000	53650000	54000000	54348050	54648500	54943600	55211700	55441750	55663250	55896223	56086065	56194527	56229974	56225800	56211968	56193492	56196504	56246951	56314216	56333829	56313641	56332848	56422072	56550268	56681396	56802050	56928327	57076711	57247586	57424897	57580402	57718614	57865745	58019030	58166950	58316954	58487141	58682466	58892514	59119673	59370479	59647577	59987905	60401206	60846820	61322463	61806995	62276270	62766365	63258918	63695687	64097085
United States	180671000	183691000	186538000	189242000	191889000	194303000	196560000	198712000	200706000	202677000	205052000	207661000	209896000	211909000	213854000	215973000	218035000	220239000	222585000	225055000	227225000	229466000	231664000	233792000	235825000	237924000	240133000	242289000	244499000	246819000	249623000	252981000	256514000	259919000	263126000	266278000	269394000	272657000	275854000	279040000	282162411	284968955	287625193	290107933	292805298	295516599	298379912	301231207	304093966	306771529	309326295	311582564	313873685	316128839
